"","positive","negative","sentiment","standardized","words","type"
"1",1,2,-1,-0.333333333333333,3,"-1"
"2",1,0,1,1,1,"1"
"3",0,0,0,NA,0,NA
"4",0,1,-1,-1,1,"-1"
"5",2,0,2,1,2,"1"
"6",2,1,1,0.333333333333333,3,"1"
"7",2,1,1,0.333333333333333,3,"1"
"8",4,6,-2,-0.2,10,"0"
"9",0,2,-2,-1,2,"-1"
"10",0,2,-2,-1,2,"-1"
"11",1,0,1,1,1,"1"
"12",1,0,1,1,1,"1"
"13",1,0,1,1,1,"1"
"14",1,2,-1,-0.333333333333333,3,"-1"
"15",2,4,-2,-0.333333333333333,6,"-1"
"16",0,4,-4,-1,4,"-1"
"17",0,0,0,NA,0,NA
"18",0,1,-1,-1,1,"-1"
"19",0,0,0,NA,0,NA
"20",3,0,3,1,3,"1"
"21",3,0,3,1,3,"1"
"22",0,0,0,NA,0,NA
"23",2,4,-2,-0.333333333333333,6,"-1"
"24",2,3,-1,-0.2,5,"0"
"25",0,0,0,NA,0,NA
"26",1,3,-2,-0.5,4,"-1"
"27",2,0,2,1,2,"1"
"28",2,1,1,0.333333333333333,3,"1"
"29",0,1,-1,-1,1,"-1"
"30",4,0,4,1,4,"1"
"31",1,0,1,1,1,"1"
"32",1,5,-4,-0.666666666666667,6,"-1"
"33",2,1,1,0.333333333333333,3,"1"
"34",2,0,2,1,2,"1"
"35",1,1,0,0,2,"0"
"36",1,0,1,1,1,"1"
"37",0,2,-2,-1,2,"-1"
"38",1,0,1,1,1,"1"
"39",0,2,-2,-1,2,"-1"
"40",2,5,-3,-0.428571428571429,7,"-1"
"41",0,4,-4,-1,4,"-1"
"42",1,0,1,1,1,"1"
"43",1,2,-1,-0.333333333333333,3,"-1"
"44",0,0,0,NA,0,NA
"45",1,1,0,0,2,"0"
"46",1,1,0,0,2,"0"
"47",2,1,1,0.333333333333333,3,"1"
"48",1,0,1,1,1,"1"
"49",5,3,2,0.25,8,"0"
"50",1,3,-2,-0.5,4,"-1"
"51",0,1,-1,-1,1,"-1"
"52",0,1,-1,-1,1,"-1"
"53",2,0,2,1,2,"1"
"54",1,1,0,0,2,"0"
"55",0,3,-3,-1,3,"-1"
"56",6,10,-4,-0.25,16,"0"
"57",0,0,0,NA,0,NA
"58",0,2,-2,-1,2,"-1"
"59",1,0,1,1,1,"1"
"60",0,0,0,NA,0,NA
"61",0,0,0,NA,0,NA
"62",1,0,1,1,1,"1"
"63",0,1,-1,-1,1,"-1"
"64",0,1,-1,-1,1,"-1"
"65",1,1,0,0,2,"0"
"66",5,1,4,0.666666666666667,6,"1"
"67",1,1,0,0,2,"0"
"68",1,1,0,0,2,"0"
"69",1,0,1,1,1,"1"
"70",9,6,3,0.2,15,"0"
"71",0,0,0,NA,0,NA
"72",0,0,0,NA,0,NA
"73",2,2,0,0,4,"0"
"74",2,6,-4,-0.5,8,"-1"
"75",1,1,0,0,2,"0"
"76",1,2,-1,-0.333333333333333,3,"-1"
"77",0,0,0,NA,0,NA
"78",0,0,0,NA,0,NA
"79",1,1,0,0,2,"0"
"80",1,0,1,1,1,"1"
"81",1,1,0,0,2,"0"
"82",1,0,1,1,1,"1"
